,PWVmidTim,Tdelay
141,20110101/0015,2101.0
142,20110101/0045,2100.3
143,20110101/0115,2105.5
144,20110101/0145,2106.2
145,20110101/0215,2104.4
146,20110101/0245,2105.0
147,20110101/0315,2101.2
148,20110101/0345,2099.1
149,20110101/0415,2104.3
150,20110101/0445,2106.7
151,20110101/0515,2105.1
152,20110101/0545,2105.3
153,20110101/0615,2108.9
154,20110101/0645,2110.3
155,20110101/0715,2107.3
156,20110101/0745,2109.3
157,20110101/0815,2102.1
158,20110101/0845,2096.8
159,20110101/0915,2108.2
160,20110101/0945,2113.9
161,20110101/1015,2110.0
162,20110101/1045,2106.0
163,20110101/1115,2108.5
164,20110101/1145,2109.0
165,20110101/1215,2105.1
166,20110101/1245,2102.4
167,20110101/1315,2103.3
168,20110101/1345,2105.0
169,20110101/1415,2102.9
170,20110101/1445,2099.5
171,20110101/1515,2096.1
172,20110101/1545,2096.3
173,20110101/1615,2097.5
174,20110101/1645,2099.5
175,20110101/1715,2101.6
176,20110101/1745,2101.9
177,20110101/1815,2105.6
178,20110101/1845,2102.5
179,20110101/1915,2098.9
180,20110101/1945,2100.2
181,20110101/2015,2099.4
182,20110101/2045,2100.1
183,20110101/2115,2101.7
184,20110101/2145,2101.9
185,20110101/2215,2102.3
186,20110101/2245,2103.6
187,20110101/2315,2099.9
141,20110102/0015,2092.8
142,20110102/0045,2090.2
143,20110102/0115,2097.8
144,20110102/0145,2097.3
145,20110102/0215,2096.4
146,20110102/0245,2097.8
147,20110102/0315,2094.5
148,20110102/0345,2089.7
149,20110102/0415,2094.0
150,20110102/0445,2098.6
151,20110102/0515,2096.1
152,20110102/0545,2099.4
153,20110102/0615,2102.8
154,20110102/0645,2101.2
155,20110102/0715,2101.2
156,20110102/0745,2103.0
157,20110102/0815,2103.8
158,20110102/0845,2102.0
159,20110102/0915,2099.6
160,20110102/0945,2102.2
161,20110102/1015,2104.4
162,20110102/1045,2102.9
163,20110102/1115,2102.5
164,20110102/1145,2101.5
165,20110102/1215,2100.5
166,20110102/1245,2103.8
167,20110102/1315,2102.8
168,20110102/1345,2099.9
169,20110102/1415,2101.1
170,20110102/1445,2097.9
171,20110102/1515,2095.7
172,20110102/1545,2099.9
173,20110102/1615,2109.2
174,20110102/1645,2120.7
175,20110102/1715,2127.7
176,20110102/1745,2132.2
177,20110102/1815,2139.0
178,20110102/1845,2139.6
179,20110102/1915,2137.1
180,20110102/1945,2137.0
181,20110102/2015,2138.4
182,20110102/2045,2139.4
183,20110102/2115,2139.7
184,20110102/2145,2140.6
185,20110102/2215,2140.1
186,20110102/2245,2144.4
187,20110102/2315,2141.9
141,20110103/0015,2143.2
142,20110103/0045,2140.3
143,20110103/0115,2139.9
144,20110103/0145,2140.6
145,20110103/0215,2141.1
146,20110103/0245,2137.4
147,20110103/0315,2134.8
148,20110103/0345,2137.1
149,20110103/0415,2135.6
150,20110103/0445,2137.0
151,20110103/0515,2138.5
152,20110103/0545,2136.0
153,20110103/0615,2138.0
154,20110103/0645,2143.2
155,20110103/0715,2141.9
156,20110103/0745,2144.9
157,20110103/0815,2148.7
158,20110103/0845,2145.4
159,20110103/0915,2144.1
160,20110103/0945,2144.4
161,20110103/1015,2144.2
162,20110103/1045,2141.6
163,20110103/1115,2141.3
164,20110103/1145,2145.3
165,20110103/1215,2146.8
166,20110103/1245,2142.5
167,20110103/1315,2141.1
168,20110103/1345,2146.0
169,20110103/1415,2145.8
170,20110103/1445,2140.3
171,20110103/1515,2142.9
172,20110103/1545,2145.6
173,20110103/1615,2143.5
174,20110103/1645,2147.3
175,20110103/1715,2149.4
176,20110103/1745,2147.4
177,20110103/1815,2150.0
178,20110103/1845,2152.1
179,20110103/1915,2150.8
180,20110103/1945,2148.0
181,20110103/2015,2148.8
182,20110103/2045,2153.6
183,20110103/2115,2152.3
184,20110103/2145,2148.9
185,20110103/2215,2150.3
186,20110103/2245,2151.2
187,20110103/2315,2147.9
141,20110104/0015,2148.3
142,20110104/0045,2148.3
143,20110104/0115,2148.8
144,20110104/0145,2148.6
145,20110104/0215,2144.9
146,20110104/0245,2142.9
147,20110104/0315,2145.0
148,20110104/0345,2144.6
149,20110104/0415,2145.0
150,20110104/0445,2145.5
151,20110104/0515,2144.7
152,20110104/0545,2145.6
153,20110104/0615,2146.2
154,20110104/0645,2142.1
155,20110104/0715,2137.6
156,20110104/0745,2140.6
157,20110104/0815,2140.1
158,20110104/0845,2141.4
159,20110104/0915,2142.1
160,20110104/0945,2138.8
161,20110104/1015,2138.9
162,20110104/1045,2136.4
163,20110104/1115,2139.1
164,20110104/1145,2146.0
165,20110104/1215,2139.5
166,20110104/1245,2135.4
167,20110104/1315,2138.9
168,20110104/1345,2136.7
169,20110104/1415,2134.9
170,20110104/1445,2133.4
171,20110104/1515,2135.1
172,20110104/1545,2137.2
173,20110104/1615,2136.3
174,20110104/1645,2138.7
175,20110104/1715,2141.3
176,20110104/1745,2136.3
177,20110104/1815,2132.9
178,20110104/1845,2134.2
179,20110104/1915,2137.7
180,20110104/1945,2139.0
181,20110104/2015,2136.3
182,20110104/2045,2134.2
183,20110104/2115,2130.7
184,20110104/2145,2131.0
185,20110104/2215,2131.3
186,20110104/2245,2128.4
187,20110104/2315,2129.7
141,20110105/0015,2128.5
142,20110105/0045,2129.8
143,20110105/0115,2126.5
144,20110105/0145,2125.0
145,20110105/0215,2128.0
146,20110105/0245,2128.0
147,20110105/0315,2128.8
148,20110105/0345,2130.6
149,20110105/0415,2132.4
150,20110105/0445,2132.7
151,20110105/0515,2133.4
152,20110105/0545,2135.1
153,20110105/0615,2133.8
154,20110105/0645,2132.0
155,20110105/0715,2133.0
156,20110105/0745,2134.6
157,20110105/0815,2133.2
158,20110105/0845,2129.9
159,20110105/0915,2128.8
160,20110105/0945,2126.0
161,20110105/1015,2127.8
162,20110105/1045,2130.6
163,20110105/1115,2130.1
164,20110105/1145,2131.9
165,20110105/1215,2132.1
166,20110105/1245,2132.8
167,20110105/1315,2132.4
168,20110105/1345,2133.5
169,20110105/1415,2132.5
170,20110105/1445,2126.8
171,20110105/1515,2139.2
172,20110105/1545,2139.3
173,20110105/1615,2128.5
174,20110105/1645,2133.9
175,20110105/1715,2133.7
176,20110105/1745,2129.7
177,20110105/1815,2125.4
178,20110105/1845,2120.7
179,20110105/1915,2125.1
